"location_id","location_title","location_address","location_draggable","location_infowindow_default_open","location_animation","location_latitude","location_longitude","location_city","location_state","location_country","location_postal_code","location_zoom","location_messages","location_settings","location_group_map","location_extrafields"
"151","Sydney","Sydney NSW, Australia",,,"BOUNCE","-33.8688197","151.2092955","Sydney","New South Wales","Australia",,NULL,,"a:4:{s:7:""onclick"";s:11:""custom_link"";s:13:""redirect_link"";s:43:""https://jboy.cagumbay.com/sydney-australia/"";s:20:""redirect_link_window"";s:3:""yes"";s:14:""featured_image"";s:0:"""";}","a:0:{}",NULL
"152","Ostende, Belgium","Ostende, Belgium",,,"BOUNCE","51.22471849999999","2.9092214","Ostend","Flanders","Belgium",,NULL,,"a:4:{s:7:""onclick"";s:11:""custom_link"";s:13:""redirect_link"";s:41:""https://jboy.cagumbay.com/ostend-belgium/"";s:20:""redirect_link_window"";s:3:""yes"";s:14:""featured_image"";s:0:"""";}","a:0:{}",NULL
"153","Brugge, Belgium","Brugge, Belgium",,,"BOUNCE","51.20845079999999","3.2250586","Bruges","Flanders","Belgium",,NULL,,"a:4:{s:7:""onclick"";s:11:""custom_link"";s:13:""redirect_link"";s:41:""https://jboy.cagumbay.com/bruges-belgium/"";s:20:""redirect_link_window"";s:3:""yes"";s:14:""featured_image"";s:0:"""";}","a:0:{}",NULL
"154","Dubai, UAE","Dubai - UAE",,,"BOUNCE","25.2048493","55.2707828","Dubai","Dubai","United Arab Emirates",,NULL,,"a:4:{s:7:""onclick"";s:11:""custom_link"";s:13:""redirect_link"";s:36:""https://jboy.cagumbay.com/dubai-uae/"";s:20:""redirect_link_window"";s:3:""yes"";s:14:""featured_image"";s:0:"""";}","a:0:{}",NULL
"155","Tromsø, Norway","Tromsø, Norway",,,"BOUNCE","69.6492047","18.9553238","Tromsø","Troms","Norway",,NULL,,"a:4:{s:7:""onclick"";s:11:""custom_link"";s:13:""redirect_link"";s:40:""https://jboy.cagumbay.com/tromso-norway/"";s:20:""redirect_link_window"";s:3:""yes"";s:14:""featured_image"";s:0:"""";}","a:0:{}",NULL
"156","London, UK","London, UK",,,"BOUNCE","51.5072178","-0.1275862","London","England","United Kingdom",,NULL,,"a:4:{s:7:""onclick"";s:11:""custom_link"";s:13:""redirect_link"";s:36:""https://jboy.cagumbay.com/london-uk/"";s:20:""redirect_link_window"";s:3:""yes"";s:14:""featured_image"";s:0:"""";}","a:0:{}",NULL
"157","New York","New York, NY, USA",,,"BOUNCE","40.7127753","-74.0059728","New York","New York","United States",,NULL,,"a:4:{s:7:""onclick"";s:11:""custom_link"";s:13:""redirect_link"";s:44:""https://jboy.cagumbay.com/new-york-city-usa/"";s:20:""redirect_link_window"";s:3:""yes"";s:14:""featured_image"";s:0:"""";}","a:0:{}",NULL
"158","Marrakesh, Morocco","Marrakesh, Morocco",,,"BOUNCE","31.6225224","-7.989825799999999","Marrakesh","Marrakesh-Safi","Morocco",,NULL,,"a:4:{s:7:""onclick"";s:11:""custom_link"";s:13:""redirect_link"";s:44:""https://jboy.cagumbay.com/marrakesh-morocco/"";s:20:""redirect_link_window"";s:3:""yes"";s:14:""featured_image"";s:0:"""";}","a:0:{}",NULL
"159","Crete, Greece","Crete, Greece",,,"BOUNCE","35.240117","24.8092691",,,"Greece",,NULL,,"a:4:{s:7:""onclick"";s:11:""custom_link"";s:13:""redirect_link"";s:46:""https://jboy.cagumbay.com/?p=6716&preview=true"";s:20:""redirect_link_window"";s:3:""yes"";s:14:""featured_image"";s:0:"""";}","a:0:{}",NULL
"160","Frankfurt, Germany","Frankfurt am Main, Germany",,,"BOUNCE","50.1109221","8.6821267","Frankfurt am Main","Hessen","Germany",,NULL,,"a:4:{s:7:""onclick"";s:11:""custom_link"";s:13:""redirect_link"";s:44:""https://jboy.cagumbay.com/frankfurt-germany/"";s:20:""redirect_link_window"";s:3:""yes"";s:14:""featured_image"";s:0:"""";}","a:0:{}",NULL
"161","Lisbon, Portugal","Lisbon, Portugal",,,"BOUNCE","38.7222524","-9.1393366","Lisbon","Lisbon","Portugal",,NULL,,"a:4:{s:7:""onclick"";s:11:""custom_link"";s:13:""redirect_link"";s:42:""https://jboy.cagumbay.com/lisbon-portugal/"";s:20:""redirect_link_window"";s:3:""yes"";s:14:""featured_image"";s:0:"""";}","a:0:{}",NULL
"162","Copenhagen, Denmark","Copenhagen, Denmark",,,"BOUNCE","55.6760968","12.5683371","Copenhagen",,"Denmark",,NULL,,"a:4:{s:7:""onclick"";s:11:""custom_link"";s:13:""redirect_link"";s:45:""https://jboy.cagumbay.com/copenhagen-denmark/"";s:20:""redirect_link_window"";s:3:""yes"";s:14:""featured_image"";s:0:"""";}","a:0:{}",NULL
"163","Annecy, France","Annecy, France",,,"BOUNCE","45.9058956","6.1259117","Annecy","Auvergne-Rhône-Alpes","France",,NULL,,"a:4:{s:7:""onclick"";s:11:""custom_link"";s:13:""redirect_link"";s:40:""https://jboy.cagumbay.com/annecy-france/"";s:20:""redirect_link_window"";s:3:""yes"";s:14:""featured_image"";s:0:"""";}","a:0:{}",NULL
"164","Utrecht, Netherlands","Utrecht, Netherlands",,,"BOUNCE","52.09192549999999","5.1229572","Utrecht","Utrecht","Netherlands",,NULL,,"a:4:{s:7:""onclick"";s:11:""custom_link"";s:13:""redirect_link"";s:50:""https://jboy.cagumbay.com/utrecht-the-netherlands/"";s:20:""redirect_link_window"";s:3:""yes"";s:14:""featured_image"";s:0:"""";}","a:0:{}",NULL
